content,content_clean,sentimen
"Masih ada duit di akun dana , dikarenakan nomor hp telah hilang tidak dapat login , selalu meminta verivikasi kode otp , mohon lah untuk pengguna dana yang kejadian sama seperti saya , di proses cepat lah , ini respon admin nya buruk banget ; disuruh nunggu dia hari, tapi sampe sekarang udah dua Minggu belum ada juga kembali uang saya ke akun tersebut, dan katanya akan di alihkan saldo ke dana baru dan saya juga sudah konfirmasi, mohon lah segera konfirmasi , saya sudah mengajukan semua prosedur",uang akun nomor hp hilang tidak login verivikasi kode otp mohon guna jadi proses cepat respon admin buruk banget suruh nunggu sampe minggu belum uang akun alih saldo konfirmasi mohon konfirmasi aju prosedur,NEGATIVE
Bos kenapa dana saya GK bisa masuk. Akun anda sedang di prokesik,bos tidak masuk akun prokesik,NEUTRAL
good jobs,good jobs,NEGATIVE
Dreaper,dreaper,NEGATIVE
Pagi ini saya pun baru kehilqngan saldo sebesar 790.000 Entah apa boleh kah lebih aman lagi selama nih saya nyam an pakenapk nya baru hari nih kejadian seperti nih mungkin itu tak seberapa tapi jadi waswas untuk simpan saldo besar2 di dana mulai sekarang,pagi kehilqngan saldo kah aman nyam an pakenapk jadi tidak waswas simpan saldo,NEGATIVE
Saya kasih bintang 2 karna dana nya rusak saya sudah top up dana tapi tetep ga ada nominal gimana ya ini mau tipu apa gmna,kasih bintang rusak top up tetep tidak nominal tipu,NEGATIVE
sangat bagus,bagus,POSITIVE
"apkikasinya bisa nipu kcewa saya pake dana,ktanya dpt casbck nyatanya mlah ga bisa di ambil,buat pengguna dana jngn percaya sma event dana,penipuan.",apkikasinya nipu kcewa pakai ktanya dpt casbck mlah tidak ambil guna jngn percaya sma event tipu,NEGATIVE
"aplikasinya ko ga bisa dibuka ya padahal sandi sama nomor sudah betul, jaringan pun bagus",aplikasi ko tidak buka sandi nomor jaring bagus,POSITIVE
Apa ini sekarang dana gak jls akun saya gak bisa masuk sama sekali verifikasi terus jelas2 akun saya nomer juga aktif,tidak jls akun tidak masuk verifikasi akun nomer aktif,NEUTRAL
apk nya jelek aku udah download kok nggak ada saldonya sihh,jelek download tidak saldo sihh,NEGATIVE
Hai kak Kenapa ya aplikasinya tidak bisa dibuka padahal jaringan bagus udah diupdate berulang-ulang lagi,hai aplikasi tidak buka jaring bagus diupdate ulang ulang,NEGATIVE
lumayan buat nambah ilmu pengetahuan,lumayan nambah ilmu tahu,POSITIVE
"Sumpah nyesel gua download dana ini, menyulitkan yg ada bukan nya praktis,apa lagi saat mengklaim polis sudah beberapa kali klaim gak pernah berhasil dengan alasan yg gak jelas,kalo gk mau di cairin jgn dipaksa donk orang suruh beli polis lu Pengaduan juga gak ada ketika kita live chat dina udah kaya ngechat orang yg sedang belajar membaca",sumpah nyesel download sulit bukan praktis klaim polis kali klaim tidak hasil alas tidak kalo tidak cairin jgn paksa donk orang suruh beli polis adu tidak live chat dina kaya ngechat orang ajar baca,NEGATIVE
cukup cepat buat transaksi dana top👍,cepat transaksi top,POSITIVE
mantap ga ribet,mantap tidak ribet,POSITIVE
Bagus banget dan ga ribet,bagus banget tidak ribet,POSITIVE
ok,ok,NEGATIVE
aplikasi Dana ok banget,ok banget,POSITIVE
Kenapa uang hilang dan d tarik SMA orng tidak d kenal dan seperti pihak dana yg tarik uang a sya hilang 800rb lebih tolong kembalikan uang sya. SDH d chat tapi pura2 tidak paham.,uang hilang tarik sma orang tidak kenal tarik uang sya hilang rb tolong kembali uang sya chat pura tidak paham,NEGATIVE
Kenapa di hp saya tidak bisa di instalasi kk,hp tidak instalasi kk,NEGATIVE
smoga sukses dan terima kasih,smoga sukses terima kasih,POSITIVE
selalu gk kebagian Flash sale,tidak bagi flash sale,NEUTRAL
"Jangan pake DANA, aplikasi udh bnyak korban kena hack,,,",jangan pakai bnyak korban kena hack,NEUTRAL
"Kembalikan saldo saya ,saya tidak merasa bertransaksi tapi di histori sudah terkirim ke orang lain apk ini banyak oknum nya bgst.",kembali saldo tidak transaksi histori kirim orang oknum bgst,NEGATIVE
Kebalikan saldo saya tidak merasa beli bara bayar mengunakan QRIS asu demon aja gedung dana kumpulkan masa,balik saldo tidak beli bara bayar mengunakan qris asu demon gedung kumpul,NEUTRAL
Gak bisa di doowlnoud,tidak doowlnoud,NEUTRAL
okay...,okay,NEGATIVE
sangat membatu,batu,POSITIVE
keren,keren,POSITIVE
Susah di instal,susah instal,NEGATIVE
senang sekali mngunakn dana,senang mngunakn,POSITIVE
"Suami saya saldonya ilang d dana 500,Ken hack ada yg telfon",suami saldo ilang ken hack telfon,NEUTRAL
"Bagai mana kembang lanjut nya masalah saldo saya yang hilang ko tidak ada lanjutan nya Saya chat ke pusat bantuan gk ada respon apa"" Cuma satu laporan sudah kami Terima tapi tidak ada penjelasan nya,tolong respon nya Jadi mau isi saldo lagi takut dan ragu.",kembang saldo hilang ko tidak lanjut chat pusat bantu tidak respon lapor terima tidak jelas tolong respon isi saldo takut ragu,NEGATIVE
"proses update ke premium sangat lama , mana udah sy top up jadi gk bisa kirim"" uang.",proses update premium sy top up tidak kirim uang,NEGATIVE
Loading banget susah d buka,loading banget susah buka,NEGATIVE
"Saldo ingin di refund malah di puter puter pertanyaan nya aneh banget padahal sudah sangat jelas saya menjelaskan semuanya,aplikasi SAMPAHHH!!!",saldo refund puter puter aneh banget sampahhh,NEGATIVE
puas,puas,POSITIVE
like,like,POSITIVE
proses nya cepat,proses cepat,POSITIVE
nyaman bngt smga tambah baik lagi,nyaman bngt smga,POSITIVE
"Langsung Inti nya kenapa saya setiap mau jual emas saya selalu gagal,pasti muncul pemberitahuan ""terjadi kesalahan ketika memproses pesanan mu""kalau boleh tau kenapa ya",langsung inti jual emas gagal muncul pemberitahuan salah proses pesan mu tau,NEGATIVE
"halo min ini kenapa gw mau masukin pin selalu ada tulisan ""must not be null"" ya padahal pin gw udah gada angka nol nya dah",halo min gw masukin pin tulis must not be null pin gw gada angka nol dah,NEGATIVE
oke cepat selamat,oke cepat selamat,POSITIVE
bagusssss,bagusssss,POSITIVE
"Saya daftar dana bisnis dibacanya tertera maksimal dua hari, tapi ini sudah 3 hari blum juga keluar hasil nya, mengecewakan.",daftar bisnis baca tera maksimal blum hasil kecewa,NEGATIVE
muantap,muantap,POSITIVE
Cara mengunakan pinjaman online,mengunakan pinjam online,NEUTRAL
"Kak dana saya tidak bisa dibuka,apa karena kartu saya sudah hangus,apa lagi saldo saya masih banyak",tidak buka kartu hangus saldo,NEGATIVE
"Berharap dgn menggunakan Dana lancar,tapi saat melakukan verifikasi begitu sulitnya. Petunjuk lihat diemail,tapi tidak muncul, uangpun akhirnya tidak bisa transfer.",harap dgn lancar verifikasi sulit tunjuk lihat email tidak muncul uang tidak transfer,NEGATIVE
"Kenapa dana sekarang lambat, dn dipersulit pemprosesan kirim uang ny, saya tf uang ke rek, di aplikasi dana Sukses terkirim uangny, TAPI di Rek tujuan Tidak menerima uang",lambat dn sulit pemprosesan kirim uang ny transfer uang rek sukses kirim uangny rek tuju tidak terima uang,NEGATIVE
sangat sangat goooodd,goooodd,POSITIVE
sangat mempermudah transaksi,mudah transaksi,POSITIVE
Bgus,bgus,POSITIVE
Mau bikin akun ada aja masalah jaringan lah akun di bekukan lah padahal baru aja download trs disuruh upgrade sekalinya di upgrade malah kgk bisa gmn sih buat apk tuh yg bnr klo masih banyak masalah ke gini mah buat apa coba,bikin akun jaring akun beku download trs suruh upgrade sekali upgrade kgk gmn bnr klo gin mah coba,NEGATIVE
Masalah nya lama di selesaikan nya dana suka hilanng sendiri saldo nya,selesai suka hilanng saldo,NEUTRAL
Consumer servis id nya kayak anjeng asal bekukan akun orang..... Akun dana buat usaha di bekukan kan tolol kalok gak mau di pakek aplikasinya jangan di buat anjeng....,consumer servis id kayak anjeng beku akun orang akun usaha beku tolol kalok tidak pakek aplikasi jangan anjeng,NEGATIVE
Ada dana cicil tapi ga bisa di pake payah,cicil tidak pakai payah,NEGATIVE
semakin sulit pake dana untuk saat ini,sulit pakai,NEGATIVE
Ini gimana kelanjutannya saldo dana saya hilang. Tanpa sepengetahuan saya,lanjut saldo hilang tahu,NEUTRAL
top apk,top,NEGATIVE
Sangat membantu dan memudahkan saya,bantu mudah,POSITIVE
Sanngat bagus,sanngat bagus,POSITIVE
"kenapa waktu saya memasukkan pin dana saya gak bisa, padahal gak pernah ganti pin",masuk pin tidak tidak ganti pin,NEGATIVE
Kenapa sistem pembayarannya ribet bget harus ke dana premium trus prosesnya lama banget udah 1 hari nunggu gk selesai-selesai,sistem bayar ribet bget premium trus proses banget nunggu tidak selesai selesai,NEGATIVE
"Untuk transaksi oke sih cuman keluhan saya cuman kenapa perasaan gk berlangganan apapun di ps masih aja kesedot, buat yg nyimpen uang di dana jgn besar besar takut kesedot.",transaksi oke cuman keluh cuman asa tidak langgan apa ps sedot nyimpen uang jgn takut sedot,NEGATIVE
"Haloo ka ini kenapa ya proses vrefikasi ya lama padahal udh 1 hari lebih bahkan sampe satu Minggu,padahal di situ tertulis satu hari tapi saya nunggu ya lebih tolong kak, ad saldo ya walaupun ga seberapa tapi berarti buat saya 🙏🙏🙏🙏 respon minn dan saya juga udh dm akun Instagram resmi tapi ga ad respon",haloo ka proses vrefikasi sampe minggu situ tulis nunggu tolong ad saldo tidak respon minn dm akun instagram resmi tidak ad respon,NEGATIVE
Baru mau pake,pakai,NEUTRAL
sangat baguss,baguss,POSITIVE
"Kecewa berat, Halo CS Delon, barusan kita berbicara. Sumpah demi apa aku nahan diri buat gak ngata-ngatain, soalnya ini aku mau top up pulsa ehhh transaksinya nunggu sampe 1 jam, ini apa nih maksudnya. Paket dataku mau habis, masa aku nunggu resolusi dari tim resolusi selama 1x24 jam. Keburu habis paket dataku anying, mana gak ada uang cash lagi. Nyesel isi saldo Dana banyak-banyak. Lain kali diperbaikin lah ini masalah transaksi pending, soalnya 1 jam itu termasuk lama, buang-buang wktu nunggu",kecewa berat halo customer service don barusan bicara sumpah nahan tidak ngata ngatain top up pulsa ehhh transaksi nunggu sampe jam maksud paket data habis nunggu resolusi tim resolusi jam keburu habis paket data anying tidak uang cash nyesel isi saldo kali diperbaikin transaksi pending jam buang buang wktu nunggu,NEGATIVE
"Serem buka dana,ga dipake tiba"" dananya lenyap,ternyata bisa di bobol org untuk main game,di cek konter Bekasi,pnh kebekasi aja juga ga,knl juga ga,jadi takut ngisi saldo.",rem buka tidak dipake dana lenyap bobol orang main game cek konter bekas pnh bekas tidak knl tidak takut ngisi saldo,NEGATIVE
Mohon ijin ini saya mau tanya saldo ko ilng sendiri,mohon ijin saldo ko ilng,NEUTRAL
Kerja bos,kerja bos,NEGATIVE
Kenapa nggak bisa upgrade dana premium ajg bikin susah aja org susah mau narik uang,tidak upgrade premium ajg bikin susah orang susah narik uang,NEGATIVE
app good,good,POSITIVE
Good jibz dan sangat diperkenankan,good jibz kenan,NEGATIVE
"saya baru saja mengalami masalah mengirim uang dari dana ke bca, info terkirim ada di aplikasi dana, pas di cek di bangking bca tidak ada saldo, nominal 350,000 Rupiah, bagai mana ini 😭😭😭",alami kirim uang bca info kirim pas cek bangking bca tidak saldo nominal rupiah,NEGATIVE
passkey gak bisa di nonaktifkan gimana ini,passkey tidak nonaktif,NEGATIVE
Bagus..karena sangat membantu,bagus bantu,POSITIVE
"Hallo dana, bagaimana ini, saya transfer uang ke bank, dari pihak dana sudah sukses, tapi uang belum masuk ke rekening, kebetulan saya lagi butuh uang tersebut, tolong bantuanya segera",hallo transfer uang bank sukses uang belum masuk rekening butuh uang tolong bantuanya,NEUTRAL
Lag bgt pntek,lag banget pntek,NEGATIVE
Dana bagus,bagus,POSITIVE
Aplikasi ini sangat bagus tapi sayang sekali cepat orang bisa ambil uang saya dalam sekejap,bagus sayang cepat orang ambil uang kejap,POSITIVE
Bagus untuk membantu transaksi,bagus bantu transaksi,POSITIVE
huu,huu,POSITIVE
Bagus sekali pokoknya,bagus pokok,POSITIVE
Good,good,POSITIVE
lumayan,lumayan,POSITIVE
Sering banget gangguan,banget ganggu,NEGATIVE
sangat simpel,simpel,POSITIVE
dana idolaku,idola,POSITIVE
Klo dibuka knp paya y...?,klo buka knp paya,NEUTRAL
Sangat memuaskan dan praktis 👍👍👍👍,muas praktis,POSITIVE
e walllet terbaik,walllet baik,POSITIVE
Sangat membantu tabungan,bantu tabung,POSITIVE
"Sbener nya bagus bisa kebantu ada DANA... Cuma tiba"" pas tarik dana kok gx bisa.. padahal saldo ada isi nya dibilang gx cukup... Hett untung bisa di kirim dulu saldo nya ke Dana yg hp laen biar bisa di ambil tarik dana....",sbener bagus bantu pas tarik gx saldo isi bilang gx hett untung kirim saldo hp laen biar ambil tarik,POSITIVE
trimaksih bisa mmbntu trsfer kmana tdak rbet,trimaksih mmbntu trsfer kmana tdak rbet,NEGATIVE
"Jangan simpen uang kalian di dana , masa tiba2 saldo gua berkurang tiba2 ada tagian matchup uk limited gak jelas ,sekali potong 50 rb",jangan simpen uang saldo kurang tagian matchup uk limited tidak potong rb,NEGATIVE
mudah,mudah,POSITIVE
bsgus,bsgus,POSITIVE
saya puas pakai dana,puas pakai,POSITIVE
gampang dalam pengaplikasian nya,gampang aplikasi,POSITIVE
sangat snagat membantu sekaki makasih,snagat bantu sekak makasih,POSITIVE
puas kirim uang pake dana👍,puas kirim uang pakai,NEUTRAL
bangus skali,bangus skali,NEGATIVE
"Kenapa ya dana tuh ribet bgt? masa upgrade nya lama bgt padahal udh sesuai semua syarat nya, tolong dong kebijakan nya di permudah",ribet banget upgrade banget sesuai syarat tolong bijak mudah,NEGATIVE
Kenapa saya gak dapat fiktur dana cicilan Bagaimana caranya supaya saya dapat fiktur dana cicilan,tidak fiktur cicil fiktur cicil,NEUTRAL
Kak kenapa saya transfer ke bank bri lewat aplikasi dana. Di dana tulisan nya berhasil/sukses tapi saldo tidak masuk ke rekening si penerima. Bisa tolong di jelaskan. Saya harus bikin laporan ke mana,transfer bank bri tulis hasil sukses saldo tidak masuk rekening si terima tolong bikin lapor,NEGATIVE
Tolong ini gimana ini apk dana saya gak bisa login cuman sampe verifikasi aktifitas doang abis uptade kok malah sulit login nya,tolong tidak login cuman sampe verifikasi aktifitas doang abis uptade sulit login,NEGATIVE
Mantapp,mantapp,POSITIVE
keren bingit !!!!!!!!,keren bingit,NEGATIVE
Terlalu lama proses ke premium,proses premium,NEGATIVE
Saya suka aplikasi DANA sungguh sangat membantu,suka sungguh bantu,POSITIVE
aplikasi pencurian ini.. jangan di instal. saldo saya hilang di ambil orang dalam di aplikasi ini. saya tidak melakukan transaksi qris tapi ada transaksi qris yg mengambil saldo saya 690rb ternyata SDH banyak korban oleh aplikasi ini ada di YouTube juga. transaksi qris dari Sumba padahal posisi saya ada d Tangerang.. sudah di lapor ke pihak aplikasi tidak ada kejelasan malahan bilang laporan di tolak karena kesalahan saya katanya. padahal transaksi tidak saya lakukan dan bukti qris ada di sumba,curi jangan instal saldo hilang ambil orang tidak transaksi qris transaksi qris ambil saldo rb korban youtube transaksi qris sumba posisi tangerang lapor tidak jelas bilang lapor tolak salah transaksi tidak laku bukti qris sumba,NEGATIVE
upgrade nya harus 3-5 hari. bikin susah ehh,upgrade bikin susah ehh,NEGATIVE
berguna banget,guna banget,POSITIVE
mantap sangat membantu,mantap bantu,POSITIVE
Tidak profesional sekali. Uang nggak masuk ke rekening,tidak profesional uang tidak masuk rekening,NEGATIVE
Kenapa sekrang mau isi pulsa erorr trus.. Bukan kedepan lebih baik malah. Tambah jelek aplikasinya,sekrang isi pulsa erorr trus bukan depan jelek aplikasi,NEGATIVE
Sudah tau kartu hilang masih di minta kode OTP padahal verifikasi wajah sudah tapi tetap saja di minta kode OTP gimana ini,tau kartu hilang kode otp verifikasi wajah kode otp,NEGATIVE
"Apk cukup bagus dan beguna, tapi setiap kali download ulang apk ini malah di suruh verifikasi di tap layar atau ada notif verifikasi, tapi notif nya gk muncul hampir 3 hari, dan kalo bisa di update lagi apk nya",bagus beguna kali download ulang suruh verifikasi tap layar notif verifikasi notif tidak muncul kalo update,NEGATIVE
"Saya transfer ke bank btn lewat apk dana, di riwayat sudah berhasil ,tapi uang saya belum masuk ke bank btn,,mending gak usah pake dana ,sekian terima kasih, biar tidak ada korban seterusnya",transfer bank btn riwayat hasil uang belum masuk bank btn mending tidak pakai sekian terima kasih biar tidak korban,NEGATIVE
update jgn terlalu cepet ya,update jgn cepet,NEGATIVE
sangan paten,sangan paten,POSITIVE
"gimana ini dana? tiba2 saldo saya diambil oleh google padahal tidak melakukan transaksi apa apa, aneh",saldo ambil google tidak transaksi aneh,NEGATIVE
Aplikasi dana emang terbaik banget ya pantas di beri lima bintang👍,emang baik banget bintang,POSITIVE
Kenapa mengupgradetan nya lama banget sih padahal udah diisi saldo nya,mengupgradetan banget isi saldo,NEGATIVE
mantap cepat,mantap cepat,POSITIVE
ribet pas upgrade premium datanya ketolak trus,ribet pas upgrade premium data tolak trus,NEGATIVE
Ini sumpah kenapa saat di suruh buat nmr pin ini selalu ngak bisa jadi saya masih kesulitan untuk membuat nmr pin tolong di perbaiki saat membuat nmr pin,sumpah suruh nmr pin ngak sulit nmr pin tolong baik nmr pin,NEGATIVE
Gimana ini saya upgret dana premium dari kmaren dalam proses mulu uda hampir 4hari,upgret premium kmaren proses uda,NEUTRAL
Bolak balik gak bisa diinstal,bolak tidak diinstal,NEGATIVE
nice apk,nice,NEGATIVE
di permudah,mudah,POSITIVE
sangat membuntu,buntu,NEGATIVE
"Saya kurangi bintang nya, Loading nya sangat lama berat loading nya, sampe lama banget di fitur rewar nya juga loanding nya lama,, kepada pihak apk tolong di ringan kan aplikasi nya terlalu berat untuk hp yg kurang memadai sampai panas buka nya🙏# setela di update dana kok logo nya beruba jadi ada mera mera tamba jelek sekali lihat nya kalau bisa di uba lagi seperti semula",kurang bintang loading berat loading sampe banget fitur rewar loanding tolong ringan berat hp kurang pada panas buka setela update logo uba mera mera tamba jelek lihat uba,NEGATIVE
top,top,POSITIVE
Aplikasi pengeretan hati2.uang saya lenyap 600rbu.tmn sy 2juta.bahkan ada yg 5 juta raib.jg nyimpen duit di dana bahaya.pihak dana gk mau tanggung jawab.mnding di aplikasi bank resmi aja. Unreg aja dana nya.ahir2 ini banyak yg kehilangan uang pke apk dana.,eret hati uang lenyap rbu tmn sy juta juta raib jg nyimpen uang bahaya tidak tanggung mnding bank resmi unreg ahir hilang uang pke,NEGATIVE
dana bagus buat beli token listrik cepat dan praktis gak usah ribet jalan ke minimarket,bagus beli token listrik cepat praktis tidak ribet jalan minimarket,POSITIVE
"tolong lah masa mw di upgrade ke premium harus nunggu 2 hari blm di proses"" mana di dana ada saldo mw si kirim juga gk bisa.udh di surh masukin KTP yg lebih jls lagi udh masukin KK udh.trus masih aja blm di proses.",tolong mw upgrade premium nunggu belum proses saldo mw si kirim tidak surh masukin ktp jls masukin kk trus belum proses,NEGATIVE
Akun saya tiba bisa di bajak orang lain..dan isi dana saya habis di kurang penipu....dan ga ada proteksi ke akun saya.. Laporan tapi uang tak bisa di kemabalikan...system nya dana bisa di masuki penipu..hati hati yg suka isi dana yg nilai besar....karna uang dikuras habis...tanpa ada penggantian dari apk dana nya..kecewa berat sebagai pemgguna saya...uang saya hilang tuh Rp 860000 ga seberapa tapi ber arti buat saya...lenyap bgtu saja...sdh lapor ke aplikasi yg jawab nya system otomatis komputer,akun bajak orang isi habis kurang tipu tidak proteksi akun lapor uang tidak kemabalikan system masuk tipu hati hati suka isi nilai uang kuras habis ganti kecewa berat pemgguna uang hilang rp tidak ber arti lenyap bgtu lapor system otomatis komputer,NEGATIVE
"Dana sekarang parah saldo saya selalu terkeras oleh google play, dan tidak bisa menghapus perangkat terhubung",parah saldo keras google play tidak hapus perangkat hubung,NEGATIVE
mantapjiwa,mantapjiwa,POSITIVE
lebih cepat dan mudah,cepat mudah,POSITIVE
Bagus sih tapi masih bamyak masalah nya,bagus bamyak,NEGATIVE
Tidak bisa daftar premium meskipun nomor KTP sudah sesuai,tidak daftar premium nomor ktp sesuai,NEGATIVE
sangat berguna,guna,POSITIVE
sangat mudah dan sangat membantu,mudah bantu,POSITIVE
"Mau login tapi harus konfirmasi dari device sebelumnya, padahal mau login karena memang tidak login di device manapun. Seharusnya login cukup pakai kode OTP saja yang dikirimkan ke nomor terdaftar melalui SMS atau WhatsApp. Tolong perbaiki dan kembalikan metode login pakai OTP karena bukan saya aja yang mengalami ini!!",login konfirmasi device login tidak login device mana login pakai kode otp kirim nomor daftar sms whatsapp tolong baik kembali metode login pakai otp bukan alami,NEGATIVE
Masa dikasih kode apapun aja ngak paham,kasih kode apa ngak paham,NEGATIVE
Lumayan baik,lumayan,POSITIVE
Maaf boleh nanya gak. Bisa tup ap gak di dana,maaf nanya tidak tup ap tidak,NEUTRAL
Kenapaa saya mau upgrade di persulit aplikasi macam apa ini buat emosi saja tolong perbaiki jangan buat semua pengguna kesal dan kecewa lol,kenapaa upgrade sulit emosi tolong baik jangan guna kesal kecewa lol,NEGATIVE
sangat membantu bintang lh yg bicara,bantu bintang lh bicara,POSITIVE
"Dana hebat,,bebas biaya admin..",hebat bebas biaya admin,POSITIVE
Mau nanya emang iya dana ada dana payalater ?? Klo ada ko punya saya kaga ada ya??,nanya emang iya payalater klo ko tidak,NEGATIVE
"Saya sangat kecewa, apk terburuk",kecewa buruk,NEGATIVE
Oke,oke,NEGATIVE
mudah digunakan.... semoga semakin baik kedepannya,mudah moga depan,POSITIVE
Tolong tambahkan opsi sms untuk verifikasi otp. Jangan hanya WhatsApp sebagai verifikasi otp. Sangat susah jika nomor dana tidak terdaftar di WhatsApp. Seperti nomor WhatsApp diblokir. Mohon ditambah opsi verifikasi otp lewat sms.,tolong tambah opsi sms verifikasi otp jangan whatsapp verifikasi otp susah nomor tidak daftar whatsapp nomor whatsapp blokir mohon tambah opsi verifikasi otp sms,NEUTRAL
Susah untuk mepremium kan akun,susah mepremium akun,NEGATIVE
terbaik lah pokonya,baik poko,POSITIVE
Halo min knp ya lama banget nunggu proses premium nya padahal foto KTP sudah jelas katanya 1 hari kerja tapi udah jalan 3 hari belum bisa premium mohon di bantu dan di perbaiki,halo min knp banget nunggu proses premium foto ktp kerja jalan belum premium mohon bantu baik,NEGATIVE
